Praise for	Praise for	Похвала за	Praise for
Listening When Parts Speak	Listening When Parts Speak	Слушать, когда говорят части	Listening When Parts Speak
“Tamala’s personal examples are compelling and courageous, and the case studies perfectly illustrate the concepts. People will be able to do considerable work on themselves by trying the exercises, and many IFS therapists will assign this book to clients as an adjunct to the therapy.”	“Tamala’s personal examples are compelling and courageous, and the case studies perfectly illustrate the concepts. People will be able to do considerable work on themselves by trying the exercises, and many IFS therapists will assign this book to clients as an adjunct to the therapy.”	«Личные примеры Тамалы убедительны и смелы, а тематические исследования прекрасно иллюстрируют эту концепцию. Люди смогут проделать значительную работу над собой, попробовав упражнения, и многие терапевты IFS будут давать эту книгу клиентам в качестве дополнения к терапии».	“Tamala’s personal examples are compelling and courageous, and the case studies perfectly illustrate the concepts. People will be able to do considerable work on themselves by trying the exercises, and many IFS therapists will assign this book to clients as an adjunct to the therapy.”
— from the foreword by Richard C. Schwartz, Ph.D., founder of Internal Family Systems Therapy	— from the foreword by Richard C. Schwartz, Ph.D., founder of Internal Family Systems Therapy	- из предисловия Ричарда К. Шварца, доктора философии, основателя внутренней семейной системной терапии.	— from the foreword by Richard C. Schwartz, Ph.D., founder of Internal Family Systems Therapy
“Listening When Parts Speak is an ancestral playbook for unlocking the heart of your wounds and the embodied power of your healing. With beautiful vulnerability and potency, Tamala Floyd offers rich medicine that can only be consumed when a person is genuinely ready and willing to be with the dark fears in the corners of their mind and release the terrorizing burdens in the belly of their pain. For those who are ready, I urge you to let Tamala be your unflinching guide on this journey called healing.”	“Listening When Parts Speak is an ancestral playbook for unlocking the heart of your wounds and the embodied power of your healing. With beautiful vulnerability and potency, Tamala Floyd offers rich medicine that can only be consumed when a person is genuinely ready and willing to be with the dark fears in the corners of their mind and release the terrorizing burdens in the belly of their pain. For those who are ready, I urge you to let Tamala be your unflinching guide on this journey called healing.”	«Слушать, когда говорят части» — это древняя книга, помогающая раскрыть суть ваших ран и воплощенную силу вашего исцеления. Обладая прекрасной уязвимостью и силой, Тамала Флойд предлагает богатое лекарство, которое можно употреблять только тогда, когда человек искренне готов и желает покончить с темными страхами в уголках своего разума и освободить ужасающее бремя боли в животе. Тех, кто готов, я призываю позволить Тамале стать вашим непоколебимым проводником в этом путешествии, называемом исцелением».	“Listening When Parts Speak is an ancestral playbook for unlocking the heart of your wounds and the embodied power of your healing. With beautiful vulnerability and potency, Tamala Floyd offers rich medicine that can only be consumed when a person is genuinely ready and willing to be with the dark fears in the corners of their mind and release the terrorizing burdens in the belly of their pain. For those who are ready, I urge you to let Tamala be your unflinching guide on this journey called healing.”
— Jamari Michael White, ancestral medicine practitioner	— Jamari Michael White, ancestral medicine practitioner	— Джамари Майкл Уайт, специалист по народной медицине.	— Jamari Michael White, ancestral medicine practitioner
“I would like to thank Tamala Floyd’s ancestors for inspiring and guiding her to write this book. As a teacher for over 30 years and an IFS trainer for 20 years, I am extremely impressed with the pedagogy illustrated by Tamala’s writing. Her clarity in teaching—first through authentic personal story, followed by theory, case example, meditation, and journal prompts, and finishing with suggestions for anchoring the learning—was nothing short of brilliant. A must-read for all those wanting to enhance their IFS experience and deepen their relationship with ancestors.”	“I would like to thank Tamala Floyd’s ancestors for inspiring and guiding her to write this book. As a teacher for over 30 years and an IFS trainer for 20 years, I am extremely impressed with the pedagogy illustrated by Tamala’s writing. Her clarity in teaching—first through authentic personal story, followed by theory, case example, meditation, and journal prompts, and finishing with suggestions for anchoring the learning—was nothing short of brilliant. A must-read for all those wanting to enhance their IFS experience and deepen their relationship with ancestors.”	«Я хотел бы поблагодарить предков Тамалы Флойд за то, что они вдохновили и направили ее на написание этой книги. Как учитель со стажем более 30 лет и тренер IFS в течение 20 лет, я чрезвычайно впечатлен педагогикой, иллюстрированной произведениями Тамалы. Ее ясность в преподавании – сначала через подлинную личную историю, за которой следовала теория, пример из практики, медитация и подсказки для дневника, а в завершение предложения по закреплению обучения – была просто блестящей. Обязательно к прочтению всем, кто хочет расширить свой опыт IFS и углубить свои отношения с предками».	“I would like to thank Tamala Floyd’s ancestors for inspiring and guiding her to write this book. As a teacher for over 30 years and an IFS trainer for 20 years, I am extremely impressed with the pedagogy illustrated by Tamala’s writing. Her clarity in teaching—first through authentic personal story, followed by theory, case example, meditation, and journal prompts, and finishing with suggestions for anchoring the learning—was nothing short of brilliant. A must-read for all those wanting to enhance their IFS experience and deepen their relationship with ancestors.”
— Ann L. Sinko, LMFT, senior IFS trainer	— Ann L. Sinko, LMFT, senior IFS trainer	— Энн Л. Синко, LMFT, старший тренер IFS	— Ann L. Sinko, LMFT, senior IFS trainer
“From the profound wisdom of the ancestors to the depths of our hearts and minds, Listening When Parts Speak is a beautiful blend of personal reflections, heartfelt meditations, and transformative insights. With loving ancestral guidance, Tamala invites readers on a journey of self-discovery and inner healing using the Internal Family Systems model. Listening When Parts Speak rises as essential reading for anyone seeking to explore their inner world and uncover the truest expression of themselves. Thank you, Ancestors! Thank you, Tamala!”	“From the profound wisdom of the ancestors to the depths of our hearts and minds, Listening When Parts Speak is a beautiful blend of personal reflections, heartfelt meditations, and transformative insights. With loving ancestral guidance, Tamala invites readers on a journey of self-discovery and inner healing using the Internal Family Systems model. Listening When Parts Speak rises as essential reading for anyone seeking to explore their inner world and uncover the truest expression of themselves. Thank you, Ancestors! Thank you, Tamala!”	«От глубокой мудрости предков до глубин наших сердец и разума «Слушать, когда говорят части» представляет собой прекрасное сочетание личных размышлений, сердечных медитаций и преобразующих идей. Под любящим руководством предков Тамала приглашает читателей в путешествие самопознания и внутреннего исцеления с использованием модели внутренних семейных систем. «Слушание, когда говорят части» становится незаменимым чтением для всех, кто стремится исследовать свой внутренний мир и раскрыть самое истинное выражение себя. Спасибо, Предки! Спасибо, Тамала!»	“From the profound wisdom of the ancestors to the depths of our hearts and minds, Listening When Parts Speak is a beautiful blend of personal reflections, heartfelt meditations, and transformative insights. With loving ancestral guidance, Tamala invites readers on a journey of self-discovery and inner healing using the Internal Family Systems model. Listening When Parts Speak rises as essential reading for anyone seeking to explore their inner world and uncover the truest expression of themselves. Thank you, Ancestors! Thank you, Tamala!”
— Crystal R. Jones, LCSW, Internal Family Systems Institute lead trainer and consultant and founder of Life Source Counseling Center, Inc.	— Crystal R. Jones, LCSW, Internal Family Systems Institute lead trainer and consultant and founder of Life Source Counseling Center, Inc.	— Кристал Р. Джонс, LCSW, ведущий тренер и консультант Института внутренних семейных систем и основатель Life Source Counseling Center, Inc.	— Crystal R. Jones, LCSW, Internal Family Systems Institute lead trainer and consultant and founder of Life Source Counseling Center, Inc.
“I highly recommend Listening When Parts Speak to everyone, regardless of your level of understanding of IFS and/or Ancestral Healing. Tamala introduces the reader to both modalities in a clear and understandable way. She then translates the teaching into meditations and exercises that support the reader applying the concepts to their own system. Tamala generously shares her personal journey with IFS and ancestor work in a moving and inspiring way. I encourage you all to read this powerful book and experiment with Tamala’s meditations and exercises. Listening When Parts Speak is an incredible tool that can impact our own internal exploration and our work with our clients.”	“I highly recommend Listening When Parts Speak to everyone, regardless of your level of understanding of IFS and/or Ancestral Healing. Tamala introduces the reader to both modalities in a clear and understandable way. She then translates the teaching into meditations and exercises that support the reader applying the concepts to their own system. Tamala generously shares her personal journey with IFS and ancestor work in a moving and inspiring way. I encourage you all to read this powerful book and experiment with Tamala’s meditations and exercises. Listening When Parts Speak is an incredible tool that can impact our own internal exploration and our work with our clients.”	«Я настоятельно рекомендую слушать, когда говорят части, всем, независимо от вашего уровня понимания IFS и/или исцеления предков. Тамала ясно и понятно знакомит читателя с обоими модальностями. Затем она переводит учение в медитации и упражнения, которые помогают читателю применять эти концепции в своей собственной системе. Тамала щедро делится своим личным опытом с IFS и работой предков трогательным и вдохновляющим образом. Я призываю вас всех прочитать эту мощную книгу и поэкспериментировать с медитациями и упражнениями Тамалы. «Слушать, когда говорят части» — это невероятный инструмент, который может повлиять на наше собственное внутреннее исследование и нашу работу с нашими клиентами».	“I highly recommend Listening When Parts Speak to everyone, regardless of your level of understanding of IFS and/or Ancestral Healing. Tamala introduces the reader to both modalities in a clear and understandable way. She then translates the teaching into meditations and exercises that support the reader applying the concepts to their own system. Tamala generously shares her personal journey with IFS and ancestor work in a moving and inspiring way. I encourage you all to read this powerful book and experiment with Tamala’s meditations and exercises. Listening When Parts Speak is an incredible tool that can impact our own internal exploration and our work with our clients.”
